questions,model_answer,student_answer,teacher_marks,total_marks
Why can we see our breath on cold days?,Water vapor condenses in the cold air.,Our breath freezes.,0,5
Is water ever lost in the cycle?,"No, it just changes form.","Yes, it disappears.",0,5
Can water change from ice to vapor directly?,"Yes, through sublimation.","No, ice becomes wind.",0,5
What makes water flow into rivers and streams?,Runoff and gravity.,Sunlight pulls it.,0,5
Why does water evaporate from wet clothes?,Heat turns water into vapor.,Clothes eat water.,0,5
How is hail formed?,Water droplets freeze and grow in thunderclouds.,It comes from cold wind.,0,5
What happens when the ground can't absorb more water?,Runoff occurs.,The ground gets angry.,0,5
What is a cloud made of?,Tiny droplets of water or ice.,Air.,0,5
"What does the term ""cycle"" mean in science?",A repeating process.,A car part.,0,5
What would happen without condensation?,Clouds and rain wouldn't form.,We get more fog.,0,5
Why don't oceans dry up?,Evaporation is balanced by precipitation and runoff.,Water doesn't leave the sea.,0,5
What is sleet?,Frozen raindrops.,Warm ice.,0,5
Where is most of Earth's water stored?,In the oceans.,In clouds.,0,5
What happens to water after precipitation?,It collects and may infiltrate the ground.,It floats in the air.,0,5
What is the role of gravity in the water cycle?,It pulls water back to Earth as precipitation and helps it flow downhill.,Gravity helps water float.,0,5
Why does rain fall from clouds?,Because the condensed water droplets become too heavy.,Rain is made by the sun.,0,5
Does evaporation happen more on sunny days? Why?,"Yes, because the sun provides heat energy needed for evaporation.","No, it only happens at night.",0,5
What happens to rainwater that falls on soil?,It may infiltrate into the ground or flow as runoff.,It dries instantly.,0,5
What causes snow in the water cycle?,When water vapor condenses and freezes in cold air.,Snow is made from wind.,0,5
What is the main source of water vapor?,"Evaporation from oceans, rivers, and lakes.",Ice from the mountains.,0,5
Where does most evaporation occur?,Over oceans and large bodies of water.,From houses.,0,5
Why can we reuse the same water on Earth?,Because of the continuous water cycle.,Because we make more water.,0,5
What is the atmosphere's role in the water cycle?,It holds water vapor and allows condensation.,The atmosphere stops water from falling.,0,5
How do plants help in the water cycle?,They release water vapor through transpiration.,Plants store water forever.,0,5
Is water ever destroyed in the water cycle?,"No, it just changes form and location.","Yes, it disappears forever.",0,5
What happens to water in puddles after a sunny day?,It evaporates into the air.,It goes into space.,0,5
What part of the water cycle forms fog?,Condensation near the ground.,It's just low air.,0,5
What is the source of energy for evaporation and transpiration?,The sun.,The moon.,0,5
What happens when clouds become saturated?,They release precipitation.,They stop moving.,0,5
How does snow melt fit into the water cycle?,It turns to liquid and enters collection or runoff.,Snow becomes smoke.,0,5
What happens to water after it evaporates?,It cools and condenses to form clouds.,It turns into air.,0,5
Can water go from solid to gas directly in the cycle?,"Yes, through sublimation.","No, it stays frozen.",0,5
What causes hail during the water cycle?,Strong updrafts in clouds cause frozen droplets to grow.,When it's too sunny.,0,5
Why does dew form on grass?,Water vapor condenses on cool surfaces.,Grass makes water.,0,5
What is runoff in the water cycle?,"Water that flows over land into rivers, lakes, and oceans.",It's when water jumps.,0,5
How does water return from the atmosphere to Earth?,Through precipitation like rain or snow.,It falls as wind.,0,5
What do clouds form from?,Condensed water vapor.,From dust only.,0,5
Why is the water cycle important to life?,It provides fresh water and supports ecosystems.,It only makes clouds.,0,5
What is the process of water soaking into the ground called?,Infiltration.,Absorbingation.,0,5
How does water get into rivers and lakes?,"From precipitation, runoff, and melting snow.",Water just appears.,0,5
Can humans affect the water cycle?,"Yes, through pollution and deforestation.","No, we don't use water.",0,5
What is condensation?,The process where water vapor cools and turns into liquid.,It makes water hot.,0,5
What is transpiration?,Release of water vapor by plants.,Trees drink water.,0,5
What is the continuous movement of water on Earth called?,The water cycle.,Rain rotation.,0,5
What is personal hygiene?,Personal hygiene refers to maintaining cleanliness of the body to prevent illness and promote health.,It means keeping clean.,2,5
Why is washing hands important?,Washing hands removes germs and prevents the spread of diseases.,It is good to wash hands.,2,5
Name two diseases caused by poor hygiene.,Typhoid and cholera.,Fever and stomach pain.,2,5
How often should we brush our teeth?,"At least twice a day, in the morning and before bed.",We should brush every day.,2,5
Why should we take a bath regularly?,"To remove dirt, sweat, and bacteria from the skin and stay healthy.",Bathing keeps us fresh.,2,5
What is the importance of wearing clean clothes?,It prevents infections and promotes good appearance and confidence.,Dirty clothes are not good.,2,5
How can we keep our nails clean?,By trimming and washing them regularly.,Cut nails sometimes.,2,5
What is a balanced diet?,A diet that includes all essential nutrients in proper amounts.,A diet with food.,2,5
Why is drinking clean water important?,To avoid waterborne diseases like cholera and typhoid.,Clean water is good for us.,2,5
Name two good hygiene habits.,Regular handwashing and brushing teeth twice a day.,Wash hands and clean body.,2,5
What is mental health?,"A person's emotional, psychological, and social well-being.",It means being happy.,2,5
How can exercise improve health?,"It strengthens the body, boosts immunity, and improves mental health.",Exercise makes us strong.,2,5
Name two healthy foods.,Fruits and vegetables.,Apple and pizza.,2,5
Why should we avoid junk food?,"It contains high fat, sugar, and salt which can lead to health problems.",It is not always healthy.,2,5
What is the role of sleep in health?,"It helps the body to rest, repair, and grow.",Sleep gives us rest.,2,5
What are germs?,Tiny organisms that can cause diseases.,Small things that are bad.,2,5
How can we prevent tooth decay?,"Brushing teeth twice daily, avoiding sugary foods, and visiting the dentist.",Brush teeth and no sugar.,2,5
Why should we not share personal items?,To prevent the spread of germs and infections.,Sharing things can spread sickness.,2,5
What is first aid?,Immediate care given to an injured person before professional help arrives.,Help someone who gets hurt.,2,5
Why should we cover our mouth while sneezing?,To stop the spread of germs in the air.,So germs don't go far.,2,5
What is hygiene?,Hygiene is the practice of keeping oneself and surroundings clean to maintain good health.,Keeping things clean.,2,5
Name two personal hygiene practices.,Bathing daily and washing hands before meals.,Taking bath and washing.,2,5
Why should food be covered?,"To prevent contamination by dust, flies, or other germs.",To keep it clean.,2,5
What is the role of sanitation in hygiene?,Sanitation helps in disposing of waste properly and prevents the spread of disease.,It helps in keeping areas clean.,2,5
How does handwashing help during pandemics?,It reduces the risk of spreading viruses like COVID-19.,Washing hands is good in sickness.,2,5
What is oral hygiene?,Maintaining the cleanliness and health of the mouth and teeth.,Cleaning mouth and teeth.,2,5
What should be done before and after eating food?,Hands should be washed thoroughly.,Wash hands.,2,5
Why is regular exercise important?,"It improves physical strength, heart health, and mental well-being.",It helps the body.,2,5
What are the benefits of wearing a mask during illness?,It helps prevent spreading germs to others.,It blocks germs.,2,5
Name a hygiene product used to clean hands.,Soap or hand sanitizer.,Soap or water.,2,5
What happens if we don't trim our nails?,"Dirt and germs collect, leading to infections.",It gets dirty.,2,5
What is the use of a dustbin in hygiene?,To dispose waste properly and prevent foul smell or disease.,It is for throwing garbage.,2,5
Why should we not spit in public?,It spreads germs and causes health hazards.,It is not nice.,2,5
How do clean surroundings help?,They reduce the risk of infections and provide a healthy environment.,Clean places are better.,2,5
Name two common waterborne diseases.,Cholera and typhoid.,Stomach pain and fever.,2,5
Why is it important to wash fruits before eating?,"To remove pesticides, dirt, and germs.",So they are clean.,2,5
What does a healthy lifestyle include?,"Balanced diet, exercise, good hygiene, and rest.",Eating and exercising.,2,5
How can you keep your school clean?,"By not littering, using dustbins, and cleaning regularly.",By not throwing trash.,2,5
What are the dangers of open defecation?,It leads to spread of disease and pollutes the environment.,It makes places dirty.,2,5
How often should we change our clothes?,"Daily, especially after sweating or coming from outside.",Change clothes every day.,2,5
What is a balanced diet?,A diet that contains all essential nutrients in correct proportions.,Eating healthy food.,2,5
Why should we boil drinking water?,Boiling kills harmful bacteria and makes water safe.,To clean the water.,2,5
How often should you brush your teeth?,Twice a day ' in the morning and before sleeping.,In the morning and night.,2,5
What can happen if we eat uncovered food from the street?,It may cause food poisoning or stomach infections.,You can get sick.,2,5
What is body odor and how to prevent it?,Body odor is caused by bacteria on sweat and can be prevented by bathing regularly.,Bad smell after sweat.,2,5
Why is sleep important for health?,"It helps the body recover, improves memory, and keeps us energetic.",We need rest to feel fresh.,2,5
What is first aid?,Immediate help given to someone who is injured before medical help arrives.,Helping hurt people.,2,5
Why should we wear clean clothes?,To prevent skin infections and stay hygienic.,Dirty clothes are not good.,2,5
